bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
미소중기,시설관리·임대,운송장비 대여,장흥읍,전라남도,장흥군,전라남도 장흥군 장흥읍 장강로 184-3
청우식당,음식,한식,풍덕동,전라남도,순천시,전라남도 순천시 하풍동길 70
썸,수리·개인,욕탕·신체관리,남제동,전라남도,순천시,전라남도 순천시 장평로 53
경화네,음식,한식,연동,전라남도,목포시,전라남도 목포시 산정로152번길 8
낙지가,음식,한식,유달동,전라남도,목포시,전라남도 목포시 번화로 17
사평주유소,소매,연료 소매,사평면,전라남도,화순군,전라남도 화순군 사평면 사호로 276
행복청소,시설관리·임대,청소·방제,묘량면,전라남도,영광군,전라남도 영광군 묘량면 동삼로3길 4-8
오정,시설관리·임대,조경·유지,담양읍,전라남도,담양군,전라남도 담양군 담양읍 삼만길 45
알파문구,소매,오락용품 소매,완도읍,전라남도,완도군,전라남도 완도군 완도읍 개포로 141
에코와이더블유,과학·기술,기술 서비스,중마동,전라남도,광양시,전라남도 광양시 중마중앙로 151
이지커넥트,과학·기술,기술 서비스,주삼동,전라남도,여수시,전라남도 여수시 삼동3길 17
카페효차,음식,비알코올 ,영광읍,전라남도,영광군,전라남도 영광군 영광읍 옥당로 228
여남오토바이,수리·개인,모터사이클 수리,남면,전라남도,여수시,전라남도 여수시 남면 우실해안길 15-3
신대륙빌리어드클럽,예술·스포츠,스포츠 서비스,삼향읍,전라남도,무안군,전라남도 무안군 삼향읍 대죽동로16번길 25
에이티컨설팅,과학·기술,본사·경영 컨설팅,해남읍,전라남도,해남군,전라남도 해남군 해남읍 남부순환로 122
강나루,음식,한식,중마동,전라남도,광양시,전라남도 광양시 중마중앙로 88
리얼펍하당점,음식,한식,부흥동,전라남도,목포시,전라남도 목포시 옥암로 8-1
장미미용실,수리·개인,이용·미용,북일면,전라남도,장성군,전라남도 장성군 북일면 신흥로 403-1
풍경,음식,비알코올 ,봉래면,전라남도,고흥군,전라남도 고흥군 봉래면 나로도항길 108
쇼유흥주점,음식,주점,삼향읍,전라남도,무안군,전라남도 무안군 삼향읍 대죽서로15번길 30
희망세차장,수리·개인,자동차 수리·세차,영광읍,전라남도,영광군,전라남도 영광군 영광읍 천년로11길 33
굴림샤브&콩국수,음식,한식,고흥읍,전라남도,고흥군,전라남도 고흥군 고흥읍 터미널길 13
판다안경테,소매,섬유·의복·신발 소매,충무동,전라남도,여수시,전라남도 여수시 중앙로 31-1
인생술집GOGO,음식,한식,중마동,전라남도,광양시,전라남도 광양시 불로로 78
으뜸사료,소매,식료품 소매,일로읍,전라남도,무안군,전라남도 무안군 일로읍 일로로 84-1
돌산나룻터,소매,오락용품 소매,돌산읍,전라남도,여수시,전라남도 여수시 돌산읍 진두해안길 37
비손기업,시설관리·임대,고용 알선,대전면,전라남도,담양군,전라남도 담양군 대전면 대치7길 80
얼음과자24-서천점,소매,종합 소매,광양읍,전라남도,광양시,전라남도 광양시 광양읍 서평로 18
수국가든,음식,한식,빛가람동,전라남도,나주시,전라남도 나주시 상야4길 11
미래건축인테리어,과학·기술,전문 디자인,풍덕동,전라남도,순천시,전라남도 순천시 풍덕1길 34
아지트PC,예술·스포츠,유원지·오락,하당동,전라남도,목포시,전라남도 목포시 비파로108번길 16-1
나주추어탕,음식,한식,용당1동,전라남도,목포시,전라남도 목포시 영산로329번길 22
나비샵,수리·개인,이용·미용,광영동,전라남도,광양시,전라남도 광양시 금영로 157
복림,음식,한식,소라면,전라남도,여수시,전라남도 여수시 소라면 죽림3길 5-16
짭쪼롬한오후건맥한잔나주점,음식,한식,성북동,전라남도,나주시,전라남도 나주시 대호길 90-14
약손건강관리실,수리·개인,이용·미용,여천동,전라남도,여수시,전라남도 여수시 시청로 82
오천하나로치과,보건의료,의원,남제동,전라남도,순천시,전라남도 순천시 남산로 46
못난이호떡김밥,음식,기타 간이,성북동,전라남도,나주시,전라남도 나주시 나주로 158
능성약품,소매,의약·화장품 소매,능주면,전라남도,화순군,전라남도 화순군 능주면 천년동길 52
카페나을,음식,비알코올 ,성북동,전라남도,나주시,전라남도 나주시 건재로 170
한국가나식당,음식,한식,여서동,전라남도,여수시,전라남도 여수시 여문문화1길 83
이룸,시설관리·임대,가정용품 대여,삼향읍,전라남도,무안군,전라남도 무안군 삼향읍 남악5로60번길 9-13
산사랑레저,소매,오락용품 소매,마산면,전라남도,구례군,전라남도 구례군 마산면 섬진강대로 5491
한국애드,과학·기술,광고,성북동,전라남도,나주시,전라남도 나주시 중앙로 62
지라멘,음식,일식,해룡면,전라남도,순천시,전라남도 순천시 해룡면 향매1길 17
모둠대패,음식,한식,삼호읍,전라남도,영암군,전라남도 영암군 삼호읍 신항1로 30
네일디디,수리·개인,이용·미용,원산동,전라남도,목포시,전라남도 목포시 양을로33번길 25
여진산업,시설관리·임대,산업용품 대여,조성면,전라남도,보성군,전라남도 보성군 조성면 조성대동길 1
봄에뷰티,수리·개인,이용·미용,중앙동,전라남도,순천시,전라남도 순천시 중앙로 104
우리들약국,소매,의약·화장품 소매,지산면,전라남도,진도군,전라남도 진도군 지산면 지산로 1182
또와;네일,수리·개인,이용·미용,담양읍,전라남도,담양군,전라남도 담양군 담양읍 천변1길 5-1
오브원,과학·기술,본사·경영 컨설팅,태인동,전라남도,광양시,전라남도 광양시 명당3길 26
옴뇸,음식,한식,왕조2동,전라남도,순천시,전라남도 순천시 연동남길 19
다채,시설관리·임대,가정용품 대여,해룡면,전라남도,순천시,전라남도 순천시 해룡면 송산6길 22
나예뻐,수리·개인,이용·미용,중마동,전라남도,광양시,전라남도 광양시 동광길 21
탕화쿵푸마라탕용당점,음식,중식,삼산동,전라남도,순천시,전라남도 순천시 삼산로 112
베트남쌀국수,음식,동남아시아,도화면,전라남도,고흥군,전라남도 고흥군 도화면 중심길 13-1
카페몬당,음식,비알코올 ,중앙동,전라남도,여수시,전라남도 여수시 고소3길 43-8
로쉬람문화원,소매,의약·화장품 소매,장성읍,전라남도,장성군,전라남도 장성군 장성읍 청운2길 21
레드존,음식,비알코올 ,동문동,전라남도,여수시,전라남도 여수시 하멜로 11-4
쇼부,음식,주점,완도읍,전라남도,완도군,전라남도 완도군 완도읍 개포로62번길 25
사계에반하다3,숙박,일반 숙박,돌산읍,전라남도,여수시,전라남도 여수시 돌산읍 돌산로 3057
장흥청소년수련원,교육,기타 교육,장흥읍,전라남도,장흥군,전라남도 장흥군 장흥읍 우드랜드길 200-60
정대감감자탕,음식,한식,왕조2동,전라남도,순천시,전라남도 순천시 장선배기길 15
담소,음식,주점,송월동,전라남도,나주시,전라남도 나주시 남고문로 36-17
지오COFFEE,음식,비알코올 ,도사동,전라남도,순천시,전라남도 순천시 순천만길 410
영광문화예술인협동조합,교육,교육 지원,영광읍,전라남도,영광군,전라남도 영광군 영광읍 물무로 171
카페양달,음식,한식,중마동,전라남도,광양시,전라남도 광양시 길호4길 10-1
명륜진사갈비,음식,한식,중마동,전라남도,광양시,전라남도 광양시 눈소로 16
해동회식당,음식,한식,도화면,전라남도,고흥군,전라남도 고흥군 도화면 중심길 20
삼촌네유통,소매,종합 소매,완도읍,전라남도,완도군,전라남도 완도군 완도읍 개포로135번길 51
리셋건강운동센터,수리·개인,욕탕·신체관리,중마동,전라남도,광양시,전라남도 광양시 오류로 62
푸켓뷰티샵,소매,의약·화장품 소매,삼호읍,전라남도,영암군,전라남도 영암군 삼호읍 대불주거5로2길 15
네네치킨조례점,음식,기타 간이,왕조1동,전라남도,순천시,전라남도 순천시 비봉길 86
미로주,음식,한식,쌍봉동,전라남도,여수시,전라남도 여수시 시청서4길 7
청춘꼬마김밥,음식,기타 간이,국동,전라남도,여수시,전라남도 여수시 신월로 631
여수Art,시설관리·임대,기타 사업 서비스,쌍봉동,전라남도,여수시,전라남도 여수시 도원로 263-1
면승지,음식,한식,쌍봉동,전라남도,여수시,전라남도 여수시 학동5길 2
스테이레브,숙박,일반 숙박,남제동,전라남도,순천시,전라남도 순천시 상인제1길 33-6
더붐공인중개사사무소,부동산,부동산 서비스,풍덕동,전라남도,순천시,전라남도 순천시 풍덕1길 34
별헤는강,음식,비알코올 ,진월면,전라남도,광양시,전라남도 광양시 진월면 망덕길 185
이중호이용원,수리·개인,이용·미용,중앙동,전라남도,순천시,전라남도 순천시 북부시장1길 16
브르르르,음식,비알코올 ,돌산읍,전라남도,여수시,전라남도 여수시 돌산읍 강남해안로 173
깐깐한족발순천용당점,음식,한식,삼산동,전라남도,순천시,전라남도 순천시 삼산로 84
새천년인테리어,과학·기술,전문 디자인,영광읍,전라남도,영광군,전라남도 영광군 영광읍 신남로 135
유성식당,음식,한식,비금면,전라남도,신안군,전라남도 신안군 비금면 읍동길 30-13
에스엠공조,수리·개인,가전제품 수리,남평읍,전라남도,나주시,전라남도 나주시 남평읍 국성물길 16-1
오에쓰,시설관리·임대,청소·방제,쌍봉동,전라남도,여수시,전라남도 여수시 시청동4길 20-1
김양비어,음식,주점,대교동,전라남도,여수시,전라남도 여수시 봉산1로 5
잠깐만요식당,음식,한식,홍농읍,전라남도,영광군,전라남도 영광군 홍농읍 상하길 40
청우,예술·스포츠,유원지·오락,금당면,전라남도,완도군,전라남도 완도군 금당면 금당해변로 115
대성,수리·개인,이용·미용,고금면,전라남도,완도군,전라남도 완도군 고금면 농상도남길 18
꽃보다피부,수리·개인,이용·미용,장흥읍,전라남도,장흥군,전라남도 장흥군 장흥읍 동교3길 28
카페450,음식,비알코올 ,무안읍,전라남도,무안군,전라남도 무안군 무안읍 성남1길 164
호프카스테라,음식,한식,여서동,전라남도,여수시,전라남도 여수시 대치1길 17
에코술마시는노래방,음식,주점,해룡면,전라남도,순천시,전라남도 순천시 해룡면 신대2길 6-81
네일도예쁘다,수리·개인,이용·미용,중마동,전라남도,광양시,전라남도 광양시 구마2길 4
약산청해,소매,식료품 소매,군외면,전라남도,완도군,전라남도 완도군 군외면 청해진로 839-3
크림몰,소매,애완동물·용품 소매,남평읍,전라남도,나주시,전라남도 나주시 남평읍 강변2길 27-1
두메산장,음식,한식,옥룡면,전라남도,광양시,전라남도 광양시 옥룡면 학사대길 57-9
신일이발관,수리·개인,이용·미용,임회면,전라남도,진도군,전라남도 진도군 임회면 십일시길 7-2
미남꿀고구마,음식,한식,삼산면,전라남도,해남군,전라남도 해남군 삼산면 대흥사길 98-1
냉삼겹&산오징어,음식,한식,만덕동,전라남도,여수시,전라남도 여수시 덕충안길 84
번개막창,음식,한식,대교동,전라남도,여수시,전라남도 여수시 봉산남6길 10
단골아지트,음식,한식,덕연동,전라남도,순천시,전라남도 순천시 장자보3길 66-1
카페인더스트리,음식,비알코올 ,금성면,전라남도,담양군,전라남도 담양군 금성면 담순로 66
마장동고기집,음식,한식,도사동,전라남도,순천시,전라남도 순천시 오천6길 55
뷰코인노래연습장,예술·스포츠,유원지·오락,이로동,전라남도,목포시,전라남도 목포시 삼학로343번길 6
은혜지업사,소매,철물·건설자재 소매,담양읍,전라남도,담양군,전라남도 담양군 담양읍 중앙로 46
스쿨푸드,소매,식료품 소매,삼학동,전라남도,목포시,전라남도 목포시 자유로134번길 14
대양공인중개사사무소,부동산,부동산 서비스,주삼동,전라남도,여수시,전라남도 여수시 봉계대곡길 70
응답하라1988,음식,한식,삼호읍,전라남도,영암군,전라남도 영암군 삼호읍 세가래2길 27
에덴통신,소매,중고 상품 소매,장성읍,전라남도,장성군,전라남도 장성군 장성읍 영천로 195
동촌소머리국밥,음식,한식,고군면,전라남도,진도군,전라남도 진도군 고군면 지수길 35
허니비키즈카페,예술·스포츠,스포츠 서비스,장흥읍,전라남도,장흥군,전라남도 장흥군 장흥읍 문림로 9
진선미미용실,수리·개인,이용·미용,남제동,전라남도,순천시,전라남도 순천시 우석로 146
비바체,음식,주점,주삼동,전라남도,여수시,전라남도 여수시 좌수영로 682-25
스마일,과학·기술,본사·경영 컨설팅,도사동,전라남도,순천시,전라남도 순천시 에너지마을길 28-5
여수관,음식,한식,주삼동,전라남도,여수시,전라남도 여수시 좌수영로 1077
지에스25중동,소매,종합 소매,중마동,전라남도,광양시,전라남도 광양시 광장로 130
세븐나주병원점,소매,종합 소매,성북동,전라남도,나주시,전라남도 나주시 영산로 5419
나누리행복마루,교육,교육 지원,고흥읍,전라남도,고흥군,전라남도 고흥군 고흥읍 봉동주공길 9
디저트39중마점,음식,비알코올 ,중마동,전라남도,광양시,전라남도 광양시 공영로 102
영모가발,소매,기타 상품 소매,왕조2동,전라남도,순천시,전라남도 순천시 조례못등1길 12-11
윈드시스템,수리·개인,가전제품 수리,옥곡면,전라남도,광양시,전라남도 광양시 옥곡면 옥진로 696
신대불밧데리,소매,모터사이클 소매,삼호읍,전라남도,영암군,전라남도 영암군 삼호읍 대불로 787
길가온,음식,비알코올 ,석곡면,전라남도,곡성군,전라남도 곡성군 석곡면 석곡로 62
카페봄봄하당점,음식,비알코올 ,신흥동,전라남도,목포시,전라남도 목포시 비파로51번길 13
코코릴리,소매,섬유·의복·신발 소매,용당1동,전라남도,목포시,전라남도 목포시 산정로 174
스포팅스포츠,교육,기타 교육,하당동,전라남도,목포시,전라남도 목포시 옥암로 95
얀스,음식,기타 간이,삼향읍,전라남도,무안군,전라남도 무안군 삼향읍 남악2로22번길 30
28청춘,음식,한식,덕연동,전라남도,순천시,전라남도 순천시 대석1길 9
나랑놀자,소매,안경·정밀기기 소매,원산동,전라남도,목포시,전라남도 목포시 원산중앙로 44
