bizesNm,indsLclsNm,indsMclsNm,adongNm,sigunguNm,sigunguDetailNm,rdnAdr
민투어,시설관리·임대,여행사·보조,충장동,광주광역시,동구,광주광역시 동구 천변우로 339
가꾸는공간,수리·개인,이용·미용,치평동,광주광역시,서구,광주광역시 서구 치평로 20
달이지는밤,음식,한식,송정2동,광주광역시,광산구,광주광역시 광산구 송정로 22
팀레이블디자인,과학·기술,광고,산수2동,광주광역시,동구,광주광역시 동구 무등로 522-2
송화,수리·개인,이용·미용,용봉동,광주광역시,북구,광주광역시 북구 용봉택지로13번길 15
러블리베이비,시설관리·임대,가정용품 대여,계림1동,광주광역시,동구,광주광역시 동구 중흥로 237
양가네왕뼈해장국,음식,한식,충장동,광주광역시,동구,광주광역시 동구 구성로194번길 19
경영지도법인성장,과학·기술,본사·경영 컨설팅,비아동,광주광역시,광산구,광주광역시 광산구 하남산단8번로 177
팍스홈남구,소매,섬유·의복·신발 소매,봉선1동,광주광역시,남구,광주광역시 남구 봉선중앙로 72
뉴케이씨여행사,시설관리·임대,여행사·보조,건국동,광주광역시,북구,광주광역시 북구 하서로466번길 2
핑크사진관,과학·기술,사진 촬영,봉선2동,광주광역시,남구,광주광역시 남구 봉선중앙로 46
씨유첨단부영,소매,종합 소매,첨단2동,광주광역시,광산구,광주광역시 광산구 첨단중앙로68번길 131
가보세,음식,한식,용봉동,광주광역시,북구,광주광역시 북구 운용로95번길 5-7
유니코,소매,섬유·의복·신발 소매,봉선1동,광주광역시,남구,광주광역시 남구 봉선1로 17
홍익궁중전통육계장광주,음식,한식,양산동,광주광역시,북구,광주광역시 북구 하서로 395
케이비부동산컨설팅,부동산,부동산 서비스,주월1동,광주광역시,남구,광주광역시 남구 회재로1224번길 16-1
어반씨티,부동산,부동산 서비스,치평동,광주광역시,서구,광주광역시 서구 마륵로 104
선율엔텍,과학·기술,기술 서비스,건국동,광주광역시,북구,광주광역시 북구 첨단과기로208번길 43-22
윤기탁나래세무회계사무소,과학·기술,회계·세무,풍암동,광주광역시,서구,광주광역시 서구 풍암순환로188번길 47
듀퐁헤어,수리·개인,이용·미용,송정2동,광주광역시,광산구,광주광역시 광산구 광산로20번길 19
북광주자동차공업사,수리·개인,자동차 수리·세차,첨단2동,광주광역시,광산구,광주광역시 광산구 풍영정길 397
결,수리·개인,이용·미용,상무2동,광주광역시,서구,광주광역시 서구 쌍학로 43
다연,음식,한식,용봉동,광주광역시,북구,광주광역시 북구 비엔날레로 183-5
경해,소매,기타 상품 소매,하남동,광주광역시,광산구,광주광역시 광산구 고봉로 96
용호가든,음식,한식,석곡동,광주광역시,북구,광주광역시 북구 배재길 64
광제당한약방,소매,의약·화장품 소매,용봉동,광주광역시,북구,광주광역시 북구 호동로15번길 5
투다리,음식,주점,월산동,광주광역시,남구,광주광역시 남구 독립로 111-1
카스톰,수리·개인,자동차 수리·세차,건국동,광주광역시,북구,광주광역시 북구 양산택지로 93
오렌지노래연습장,예술·스포츠,유원지·오락,일곡동,광주광역시,북구,광주광역시 북구 송해로 59
호야명품,음식,한식,수완동,광주광역시,광산구,광주광역시 광산구 풍영로228번길 9
코끼리이용원,수리·개인,이용·미용,월곡1동,광주광역시,광산구,광주광역시 광산구 월곡중앙로 24
클린에어광산지점,시설관리·임대,청소·방제,하남동,광주광역시,광산구,광주광역시 광산구 하남산단3번로 14-3
브리테테,교육,기타 교육,용봉동,광주광역시,북구,광주광역시 북구 호동로 5
명랑핫도그,음식,기타 간이,용봉동,광주광역시,북구,광주광역시 북구 우치로90번길 7-8
주크샵,소매,종합 소매,지원2동,광주광역시,동구,광주광역시 동구 육판서길 17
아삭601,소매,식료품 소매,수완동,광주광역시,광산구,광주광역시 광산구 수등로94번길 26
이서현헤어,수리·개인,이용·미용,풍향동,광주광역시,북구,광주광역시 북구 참판로 41
친정맘산후관리,시설관리·임대,고용 알선,월산4동,광주광역시,남구,광주광역시 남구 대남대로 383-1
광주광산어등지역자활센터딜라잇가든,음식,비알코올 ,우산동,광주광역시,광산구,광주광역시 광산구 무진대로 210
웨이광주빛고을지점,시설관리·임대,운송장비 대여,신흥동,광주광역시,광산구,광주광역시 광산구 사암로24번길 69
SY헤어,수리·개인,이용·미용,풍암동,광주광역시,서구,광주광역시 서구 풍암신흥로 18
G25광주,소매,종합 소매,신창동,광주광역시,광산구,광주광역시 광산구 신창로 38
참진족발,음식,한식,서창동,광주광역시,서구,광주광역시 서구 매월2로15번길 16
동네포우차,음식,동남아시아,상무1동,광주광역시,서구,광주광역시 서구 내방로 250
