bizesNm,indsLclsNm,indsMclsNm,sigunguNm,sigunguDetailNm,adongNm,rdnAdr,indsSclsNm,ctprvnNm,signguNm
가고파정육점,소매,식료품 소매,경기도,수원시 권선구,세류2동,경기도 수원시 권선구 경수대로235번길 50,미제공,미제공,미제공
마이스터준모터스,수리·개인,자동차 수리·세차,경기도,수원시 권선구,평동,경기도 수원시 권선구 고색로 125,미제공,미제공,미제공
이상구베이커리,음식,기타 간이,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 중부대로 100,미제공,미제공,미제공
코리안숯불닭바베큐,음식,기타 간이,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 탑동로 4,미제공,미제공,미제공
경기공인중개사사무소,부동산,부동산 서비스,경기도,수원시 팔달구,우만2동,경기도 수원시 팔달구 중부대로223번길 26,미제공,미제공,미제공
나비발레학원,교육,기타 교육,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 봉영로 1623,미제공,미제공,미제공
경아스넥,음식,기타 간이,경기도,수원시 팔달구,지동,경기도 수원시 팔달구 팔달문로 19,미제공,미제공,미제공
헤어살롱키라키라,수리·개인,이용·미용,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 청명남로4번길 16,미제공,미제공,미제공
아놀드파마,소매,섬유·의복·신발 소매,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 도청로 10,미제공,미제공,미제공
이랜드이츠로운NC수원터미널,음식,한식,경기도,수원시 권선구,권선2동,경기도 수원시 권선구 경수대로 270,미제공,미제공,미제공
커피나무,음식,비알코올 ,경기도,수원시 장안구,파장동,경기도 수원시 장안구 만석로159번길 42,미제공,미제공,미제공
짐스톤GYMSTONE,예술·스포츠,스포츠 서비스,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 효원로 192,미제공,미제공,미제공
썬노래타운,예술·스포츠,유원지·오락,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 인계로138번길 49,미제공,미제공,미제공
세븐일레븐호매실21단지점,소매,종합 소매,경기도,수원시 권선구,호매실동,경기도 수원시 권선구 호매실로 103,미제공,미제공,미제공
쌍팔,음식,중식,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 세지로174번길 33,미제공,미제공,미제공
크린토피아천천영생고점,수리·개인,세탁,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 하률로11번길 9,미제공,미제공,미제공
세이프존,과학·기술,본사·경영 컨설팅,경기도,수원시 팔달구,인계동,경기도 수원시 팔달구 인계로124번길 41-3,미제공,미제공,미제공
쎄리에100,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 매산로 5,미제공,미제공,미제공
동민컴퍼니,음식,기타 간이,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 동수원로36번길 24,미제공,미제공,미제공
스포츠친구수원원천,소매,오락용품 소매,경기도,수원시 영통구,원천동,경기도 수원시 영통구 중부대로271번길 27-11,미제공,미제공,미제공
현대공인중개사사무소,부동산,부동산 서비스,경기도,수원시 권선구,평동,경기도 수원시 권선구 산업로 180,미제공,미제공,미제공
세움토탈서비스,시설관리·임대,시설관리,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 대학3로 1,미제공,미제공,미제공
항아리집,음식,한식,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장천로 144-6,미제공,미제공,미제공
키키디저트,음식,기타 간이,경기도,수원시 영통구,망포2동,경기도 수원시 영통구 영통로 163-6,미제공,미제공,미제공
시장횟집,음식,한식,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 권중로4번길 5-15,미제공,미제공,미제공
펀비어킹수원권선점,음식,주점,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 세권로304번길 44,미제공,미제공,미제공
박인테리어,과학·기술,전문 디자인,경기도,수원시 권선구,권선1동,경기도 수원시 권선구 세권로195번길 10-22,미제공,미제공,미제공
수원기획,과학·기술,인쇄·제품제작,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 곡선로49번길 14-19,미제공,미제공,미제공
브라더앤시스터,음식,비알코올 ,경기도,수원시 장안구,조원1동,경기도 수원시 장안구 정조로 970,미제공,미제공,미제공
청년매운갈비찜,음식,한식,경기도,수원시 권선구,곡선동,경기도 수원시 권선구 동수원로146번길 226-3,미제공,미제공,미제공
제이에스모바일,소매,가전·통신 소매,경기도,수원시 장안구,파장동,경기도 수원시 장안구 파장로68번길 2,미제공,미제공,미제공
업소명없음,음식,한식,경기도,수원시 권선구,호매실동,경기도 수원시 권선구 호매실로104번길 24-62,미제공,미제공,미제공
코다리냉면,음식,한식,경기도,수원시 장안구,연무동,경기도 수원시 장안구 광교산로 148,미제공,미제공,미제공
더난세무법인중앙지점,과학·기술,회계·세무,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 향교로 63,미제공,미제공,미제공
바이크빈,소매,오락용품 소매,경기도,수원시 팔달구,화서2동,경기도 수원시 팔달구 일월로42번길 8-4,미제공,미제공,미제공
왕십리곱창,음식,한식,경기도,수원시 권선구,세류2동,경기도 수원시 권선구 정조로398번길 15,미제공,미제공,미제공
난파피아노교습소,교육,기타 교육,경기도,수원시 장안구,송죽동,경기도 수원시 장안구 송정로 45-1,미제공,미제공,미제공
샤론헤어나라,수리·개인,이용·미용,경기도,수원시 영통구,원천동,경기도 수원시 영통구 중부대로271번길 5,미제공,미제공,미제공
씨앤아이hair,수리·개인,이용·미용,경기도,수원시 장안구,파장동,경기도 수원시 장안구 경수대로 1032,미제공,미제공,미제공
청솔엔지니어링,시설관리·임대,시설관리,경기도,수원시 권선구,평동,경기도 수원시 권선구 권선로 308-18,미제공,미제공,미제공
아주세무법인,과학·기술,회계·세무,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 고화로 6,미제공,미제공,미제공
더초이스,과학·기술,본사·경영 컨설팅,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 에듀타운로 108,미제공,미제공,미제공
아이엠제트프리미엄,소매,섬유·의복·신발 소매,경기도,수원시 팔달구,매산동,경기도 수원시 팔달구 덕영대로 924,미제공,미제공,미제공
홍문빌딩,숙박,일반 숙박,경기도,수원시 팔달구,고등동,경기도 수원시 팔달구 갓매산로76번길 2,미제공,미제공,미제공
더맛있는카스테라,소매,가전·통신 소매,경기도,수원시 권선구,입북동,경기도 수원시 권선구 당진로31번길 7-4,미제공,미제공,미제공
아가솜모유육아상담실,교육,기타 교육,경기도,수원시 영통구,영통3동,경기도 수원시 영통구 청명남로 25,미제공,미제공,미제공
인생스시,음식,일식,경기도,수원시 권선구,세류3동,경기도 수원시 권선구 경수대로309번길 16,미제공,미제공,미제공
박리분식,음식,기타 간이,경기도,수원시 장안구,정자2동,경기도 수원시 장안구 수성로 323,미제공,미제공,미제공
21C헤어칼라,수리·개인,이용·미용,경기도,수원시 권선구,권선2동,경기도 수원시 권선구 권중로 110,미제공,미제공,미제공
고칸천천점,음식,일식,경기도,수원시 장안구,정자3동,경기도 수원시 장안구 만석로19번길 11-7,미제공,미제공,미제공
뷰엔컴퍼니,과학·기술,광고,경기도,수원시 영통구,광교1동,경기도 수원시 영통구 대학1로8번길 112-7,미제공,미제공,미제공
에스케이트레이딩,과학·기술,본사·경영 컨설팅,경기도,수원시 장안구,파장동,경기도 수원시 장안구 이목로 17,미제공,미제공,미제공
현지푸드닭,음식,기타 간이,경기도,수원시 권선구,평동,경기도 수원시 권선구 고산로16번길 3,미제공,미제공,미제공
안지선세무회계,과학·기술,회계·세무,경기도,수원시 영통구,광교2동,경기도 수원시 영통구 광교중앙로248번길 40,미제공,미제공,미제공
가인헤어,수리·개인,이용·미용,경기도,수원시 권선구,세류2동,경기도 수원시 권선구 덕영대로1126번길 35,미제공,미제공,미제공
롯데백화점르까프,소매,섬유·의복·신발 소매,경기도,수원시 권선구,서둔동,경기도 수원시 권선구 세화로 134,미제공,미제공,미제공
올인,음식,주점,경기도,수원시 장안구,영화동,경기도 수원시 장안구 수성로370번길 45,미제공,미제공,미제공
대성자동차공업사,수리·개인,자동차 수리·세차,경기도,수원시 영통구,매탄3동,경기도 수원시 영통구 신원로 196,미제공,미제공,미제공
